exercise,n,avg_ms,runs,note
ex02,1,0.003,3,
ex02,10,0.000,3,
ex02,100,0.000,3,
ex02,1000,0.000,3,
ex02,10000,0.003,3,
ex02,100000,0.035,3,
ex02,1000000,0.430,3,
