exercise,n,avg_ms,runs,note
ex04-worst,1,1.000000,1,
ex04-worst,10,10.000000,1,
ex04-worst,100,100.000000,1,
ex04-worst,1000,1000.000000,1,
ex04-worst,10000,10000.000000,1,
ex04-worst,100000,100000.000000,1,
